Variable,Buen préstamo (0),Mal préstamo (1)
Observaciones,81834.0,211015.0
Monto solicitado (USD),13246.320600239509,15342.244508684216
Tasa de interés (%),13.244582202996307,13.260997369855223
Ingreso anual (USD),73542.69636592489,75557.957203232
DTI (%),16.166131559009703,18.885039357391655
Morosidades en 2 años,0.24423450619019102,0.34004378856379197
Meses desde última morosidad,35.21075959886974,33.72558478712066
Antigüedad historial (meses),184.58281901176932,200.69593012785882
Utilización de líneas (%),53.81765796619291,55.56883629415753
Líneas abiertas,10.897681580973565,11.803330584700541
Recuperación de principal (%),97.32256484960504,20.79391238805276
