decile,n,n_bad,bad_rate,cum_bad,cum_bad_pct,cum_pop,lift
1,3745,731,0.1951935914552737,731,0.21620822241940255,0.1,2.1620822241940254
2,3745,571,0.15246995994659546,1302,0.38509316770186336,0.2,1.688849452824608
3,3745,420,0.11214953271028037,1722,0.5093167701863354,0.3,1.2422360248447204
4,3745,437,0.11668891855807743,2159,0.6385684708666075,0.4,1.292517006802721
5,3745,306,0.08170894526034712,2465,0.7290742383910086,0.5,0.9050576752440106
6,3745,303,0.08090787716955941,2768,0.818692694469092,0.6,0.8961845607808341
7,3745,184,0.04913217623497997,2952,0.8731144631765749,0.7,0.5442176870748299
8,3745,175,0.04672897196261682,3127,0.924874297545105,0.8,0.5175983436853002
9,3745,175,0.04672897196261682,3302,0.976634131913635,0.9,0.5175983436853002
10,3745,79,0.02109479305740988,3381,1.0,1.0,0.2336586808636498
