variable,IV,seleccionada
grade,0.39684649364284674,True
int_rate,0.38943867667163884,False
term_months,0.20086495919476752,True
income_per_loan,0.10823318316303393,True
revol_util,0.06340885384172242,True
loan_amnt,0.04954865140523081,False
purpose,0.04252491358458085,False
verification_status,0.04111287663264463,False
installment,0.027652471563187966,False
annual_inc,0.026228691563151503,False
dti,0.019820625967736625,False
total_acc,0.016302105465616543,False
credit_history_yrs,0.010567447610149265,False
home_ownership,0.010287728925340035,False
open_acc,0.0040896805107460375,False
mths_since_last_major_derog,0.0036278610304535863,False
mths_since_last_delinq,0.001827788161229628,False
emp_length_yrs,0.0017059184458899106,False
acc_now_delinq,0.0015377806108041164,False
revol_bal,0.0013517447127979346,False
collections_12_mths_ex_med,0.0012470605156572308,False
delinq_2yrs,0.00036936480657369673,False
application_type,0.0,False
