variable,tramo,woe,puntos,puntos_acumulado,puntos_base
grade,0,-1.1025679591591575,26.4,682.4,656.0695073835255
grade,1,-0.34304551244067094,8.2,664.3,656.0695073835255
grade,2,0.13800021204218946,-3.3,652.8,656.0695073835255
grade,3,0.487378784233221,-11.7,644.4,656.0695073835255
grade,4,0.9163996884074137,-21.9,634.2,656.0695073835255
grade,5,1.3266510468412318,-31.7,624.3,656.0695073835255
grade,6,1.1654807728856729,-27.9,628.2,656.0695073835255
income_per_loan,"[-inf , 2.9)",0.6119222021485637,-5.8,650.2,656.0695073835255
income_per_loan,"[13 , inf)",-0.4206900675391241,4.0,660.1,656.0695073835255
income_per_loan,"[2.9 , 3.6)",0.2454795299951934,-2.3,653.7,656.0695073835255
income_per_loan,"[3.6 , 4.4)",0.06387783622487013,-0.6,655.5,656.0695073835255
income_per_loan,"[4.4 , 5.3)",-0.07309439035938145,0.7,656.8,656.0695073835255
income_per_loan,"[5.3 , 6.7)",-0.19057621267184927,1.8,657.9,656.0695073835255
income_per_loan,"[6.7 , 8.6)",-0.28592200449980937,2.7,658.8,656.0695073835255
income_per_loan,"[8.6 , 13)",-0.26855198990269247,2.6,658.6,656.0695073835255
revol_util,"[-inf , 20)",-0.4427980068734117,1.9,658.0,656.0695073835255
revol_util,"[20 , 36)",-0.3003473224700866,1.3,657.4,656.0695073835255
revol_util,"[36 , 48)",-0.17824276895006677,0.8,656.8,656.0695073835255
revol_util,"[48 , 58)",-0.06437680889954416,0.3,656.3,656.0695073835255
revol_util,"[58 , 67)",0.06558777553119234,-0.3,655.8,656.0695073835255
revol_util,"[67 , 76)",0.12764472301439828,-0.6,655.5,656.0695073835255
revol_util,"[76 , 86)",0.22279891374825542,-1.0,655.1,656.0695073835255
revol_util,"[86 , inf)",0.3651272519358581,-1.6,654.5,656.0695073835255
term_months,36.0,-0.2502912623560958,3.6,659.7,656.0695073835255
term_months,60.0,0.8160672332324697,-11.7,644.4,656.0695073835255
